Country,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25
 Albania,90,100,85,35,25,30
 Algeria,2000,2200,2050,2000,1900,1900
 Argentina,525,410,505,580,460,475
 Armenia,200,180,220,240,220,225
 Australia,1415,1640,1740,1645,1600,1650
 Bosnia and Herzegovina,330,345,305,305,300,300
 Canada,2835,2860,2940,2700,2700,2900
 Chile,245,215,200,260,260,275
 China,900,1675,1665,1965,3200,3000
 Colombia,845,1670,2040,2000,1445,1575
 Costa Rica,200,145,190,220,215,185
 Ecuador,350,350,330,330,325,325
 Egypt,750,400,450,350,400,425
 El Salvador,12,5,6,0,0,0
 European Union,44460,43875,46600,44490,45500,47500
 Georgia,80,85,95,95,90,90
 Guatemala,0,4,0,0,2,2
 India,1354,1256,1590,1700,1600,1620
 Indonesia,445,230,244,347,950,500
 Iran,205,385,485,670,815,900
 Japan,6550,6520,6800,5860,6160,6500
 Jordan,460,530,430,450,520,535
 Korea South,2660,2635,3015,2820,2800,2900
 Kosovo,90,70,65,60,65,60
 North Macedonia,100,90,77,85,85,85
 Malaysia,1735,1580,1725,1175,1200,1200
 Mexico,1522,1582,1811,1723,1569,1650
 Montenegro,35,40,40,40,40,40
 Morocco,675,815,935,750,750,725
 New Zealand,210,220,245,230,235,240
 Norway,580,580,525,485,500,525
 Panama,30,40,50,50,85,90
 Philippines,670,660,840,700,800,800
 Russia,3180,3390,3400,3500,3500,3500
 Saudi Arabia,850,1000,930,1180,1100,1150
 Senegal,80,85,50,15,10,10
 Serbia,490,500,475,460,475,500
 Singapore,100,90,100,110,100,105
 South Africa,350,310,390,300,350,365
 Switzerland,3030,3450,3400,3290,3220,3300
 Taiwan,590,560,580,585,610,620
 Thailand,930,900,1040,900,1170,1200
 Turkey,1165,1105,1175,1465,1475,1500
 Ukraine,420,445,400,400,410,420
 United Kingdom,2640,2270,2725,2285,2375,2450
 United States,23900,24320,25225,22540,23600,24500
 Uruguay,20,35,40,35,35,35
 Vietnam,300,250,250,365,400,500
