country,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25
 Angola,32,30,30,20,25,25
 Bolivia,85,80,85,90,95,100
 Brazil,60500,69900,58100,62600,66300,69900
 Burundi,265,230,175,165,215,215
 Cameroon,475,400,275,250,285,300
 China,2000,1900,1800,1800,1800,1900
 Colombia,14100,13400,11800,10700,12200,12400
 Congo (Kinshasa),255,250,270,265,275,275
 Costa Rica,1466,1472,1215,1100,1100,1100
 Cote dchr(39)Ivoire,1775,910,1110,1020,1350,1400
 Cuba,90,100,100,100,100,100
 Dominican Republic,120,120,125,125,125,125
 Ecuador,275,255,260,354,370,355
 El Salvador,510,540,600,550,450,450
 Ethiopia,7475,7600,8150,7300,8350,8360
 Guatemala,3645,3930,3540,3270,3120,3120
 Guinea,145,70,265,140,200,175
 Honduras,5200,6500,4800,5700,5300,5300
 India,4967,5567,5700,5867,6100,6000
 Indonesia,10700,10700,10580,10700,8150,10900
 Jamaica,16,15,15,15,15,15
 Kenya,750,693,860,750,725,750
 Laos,440,485,385,435,450,450
 Madagascar,325,325,300,325,300,300
 Malawi,10,10,11,11,10,10
 Malaysia,1900,2000,2000,2000,1500,1500
 Mexico,3700,3530,3740,3545,3870,3900
 Nicaragua,2755,2650,2838,2590,2435,2685
 Panama,75,75,75,85,75,75
 Papua New Guinea,825,700,775,875,900,875
 Peru,3925,3369,4200,3475,4000,4250
 Philippines,450,425,450,475,450,450
 Rwanda,350,300,270,260,250,275
 Sierra Leone,65,75,40,50,60,50
 Tanzania,1200,1125,1200,1200,1350,1400
 Thailand,700,600,650,700,750,700
 Togo,100,85,80,100,80,100
 Uganda,5475,6630,6050,6565,6400,6400
 United States,39,33,38,40,50,50
 Venezuela,550,480,500,500,500,500
 Vietnam,31300,29000,31580,28300,29100,29000
